cookie,time,interaction,conversion,conversion_value,channel
CjwKCAjwi8iXBhBeEiwAKbUofSJQeaYhP93jnfIJ2KCnqB8zZSEFSPmLjNqO06w0y0fipyYH1Zn0sBoC8pcQAvD_BwE,1660048807,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofSJQeaYhP93jnfIJ2KCnqB8zZSEFSPmLjNqO06w0y0fipyYH1Zn0sBoC8pcQAvD_BwE,1660048810,AddToCart,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofSJQeaYhP93jnfIJ2KCnqB8zZSEFSPmLjNqO06w0y0fipyYH1Zn0sBoC8pcQAvD_BwE,1660048825,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofSJQeaYhP93jnfIJ2KCnqB8zZSEFSPmLjNqO06w0y0fipyYH1Zn0sBoC8pcQAvD_BwE,1660048829,AddToCart,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofbcZfetjrZxDVDnVhFCYtWetDIoK21kXjUOyfBtGQeV2mYPwuNIjhBoCFJYQAvD_BwE,1660048887,Purchase,1,2506,google
CjwKCAjwi8iXBhBeEiwAKbUofQz5HGVUIvEGh3uKTAC0EBWsnt9b6B5ZNh3Z_bj1qzGGEAZJmPxhBhoC3h8QAvD_BwE,1660049650,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQz5HGVUIvEGh3uKTAC0EBWsnt9b6B5ZNh3Z_bj1qzGGEAZJmPxhBhoC3h8QAvD_BwE,1660049660,AddToCart,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQz5HGVUIvEGh3uKTAC0EBWsnt9b6B5ZNh3Z_bj1qzGGEAZJmPxhBhoC3h8QAvD_BwE,1660049695,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQz5HGVUIvEGh3uKTAC0EBWsnt9b6B5ZNh3Z_bj1qzGGEAZJmPxhBhoC3h8QAvD_BwE,1660049701,AddToCart,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofQz5HGVUIvEGh3uKTAC0EBWsnt9b6B5ZNh3Z_bj1qzGGEAZJmPxhBhoC3h8QAvD_BwE,1660049964,ViewContent,0,0,google
CjwKCAjwi8iXBhBeEiwAKbUofbcZfetjrZxDVDnVhFCYtWetDIoK21kXjUOyfBtGQeV2mYPwuNIjhBoCFJYQAvD_BwE,1660053091,Purchase,1,2681.6,google
CjwKCAjwi8iXBhBeEiwAKbUofW6_BZU-92bSDBykqOHGBexePFyKVfr578AXKHSW4Foz5H_s1aEZdBoCQlAQAvD_BwE,1660054890,Purchase,1,3850,google
